Page	Confinement Reason	Entry	Exit	Duration	Ethnic Origin	Correctional Facility
3	Alleged or Breached Rule	28 - APR - 21	01 - MAY - 21	3	CAU	northeast_ns_correctional_facility
3	Alleged or Breached Rule	28 - APR - 21	01 - MAY - 21	3	BLA	northeast_ns_correctional_facility
3	Alleged or Breached Rule	28 - APR - 21	30 - APR - 21	2	ANS	northeast_ns_correctional_facility
3	Alleged or Breached Rule	06 - MAY - 21	10 - MAY - 21	4	CAU	northeast_ns_correctional_facility
3	Alleged or Breached Rule	07 - MAY - 21	11 - MAY - 21	4	BLA	northeast_ns_correctional_facility
4	Alleged or Breached Rule	07 - MAY - 21	07 - MAY - 21	0	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	14 - MAY - 21	15 - MAY - 21	1	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	14 - MAY - 21	15 - MAY - 21	1	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	16 - MAY - 21	18 - MAY - 21	2	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	18 - MAY - 21	18 - MAY - 21	0	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	19 - MAY - 21	22 - MAY - 21	3	IND	northeast_ns_correctional_facility
4	Alleged or Breached Rule	20 - MAY - 21	21 - MAY - 21	1	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	22 - MAY - 21	25 - MAY - 21	3	IND	northeast_ns_correctional_facility
4	Alleged or Breached Rule	22 - MAY - 21	24 - MAY - 21	2	UNK	northeast_ns_correctional_facility
4	Alleged or Breached Rule	24 - MAY - 21	25 - MAY - 21	1	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	25 - MAY - 21	28 - MAY - 21	3	BLA	northeast_ns_correctional_facility
4	Alleged or Breached Rule	03 - JUN - 21	05 - JUN - 21	2	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	03 - JUN - 21	05 - JUN - 21	2	IND	northeast_ns_correctional_facility
4	Alleged or Breached Rule	03 - JUN - 21	05 - JUN - 21	2	CAU	northeast_ns_correctional_facility
4	Alleged or Breached Rule	05 - JUN - 21	07 - JUN - 21	2	BLA	northeast_ns_correctional_facility
4	Alleged or Breached Rule	06 - JUN - 21	08 - JUN - 21	2	IND	northeast_ns_correctional_facility
5	Alleged or Breached Rule	07 - JUN - 21	09 - JUN - 21	IN 2	IND	northeast_ns_correctional_facility
5	Alleged or Breached Rule	09 - JUN - 21	11 - JUN - 21	2	IND	northeast_ns_correctional_facility
5	Alleged or Breached Rule	11 - JUN - 21	15 - JUN - 21	4	IND	northeast_ns_correctional_facility
5	Alleged or Breached Rule	12 - JUN - 21	14 - JUN - 21	2	CAU	northeast_ns_correctional_facility
5	Alleged or Breached Rule	18 - JUN - 21	20 - JUN - 21	2	IND	northeast_ns_correctional_facility
5	Alleged or Breached Rule	19 - JUN - 21	21 - JUN - 21	2	CAU	northeast_ns_correctional_facility
5	Alleged or Breached Rule	20 - JUN - 21	21 - JUN - 21	1	CAU	northeast_ns_correctional_facility
5	Alleged or Breached Rule	04 - JUL - 21	04 - JUL - 21	0	CAU	northeast_ns_correctional_facility
5	Alleged or Breached Rule	05 - JUL - 21	07 - JUL - 21	2	CAU	northeast_ns_correctional_facility
5	Alleged or Breached Rule	09 - JUL - 21	12 - JUL - 21	3	CAU	northeast_ns_correctional_facility
5	Alleged or Breached Rule	15 - JUL - 21	28 - JUL - 21	13	CAU	northeast_ns_correctional_facility
5	Alleged or Breached Rule	16 - JUL - 21	19 - JUL - 21	3	IND	northeast_ns_correctional_facility
5	Alleged or Breached Rule	16 - JUL - 21	21 - JUL - 21	5	CAU	northeast_ns_correctional_facility
5	Alleged or Breached Rule	16 - JUL - 21	19 - JUL - 21	3	IND	northeast_ns_correctional_facility
5	Alleged or Breached Rule	17 - JUL - 21	17 - JUL - 21	0	CAU	northeast_ns_correctional_facility
5	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	CAU	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	CAU	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	UNK	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	CAU	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	CAU	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	23 - JUL - 21	5	CAU	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	IND	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	CAU	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	ANS	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	IND	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	CAU	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	CAU	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	CAU	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	20 - JUL - 21	2	IND	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	BLA	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	20 - JUL - 21	2	CAU	northeast_ns_correctional_facility
6	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	CAU	northeast_ns_correctional_facility
7	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	CAU	northeast_ns_correctional_facility
7	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	IND	northeast_ns_correctional_facility
7	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	CAU	northeast_ns_correctional_facility
7	Alleged or Breached Rule	18 - JUL - 21	18 - JUL - 21	0	CAU	northeast_ns_correctional_facility
7	Alleged or Breached Rule	20 - JUL - 21	21 - JUL - 21	1	IND	northeast_ns_correctional_facility
7	Alleged or Breached Rule	21 - JUL - 21	22 - JUL - 21	1	UNK	northeast_ns_correctional_facility
7	Alleged or Breached Rule	22 - JUL - 21	23 - JUL - 21	1	IND	northeast_ns_correctional_facility
7	Alleged or Breached Rule	26 - JUL - 21	29 - JUL - 21	3	IND	northeast_ns_correctional_facility
7	Alleged or Breached Rule	27 - JUL - 21	28 - JUL - 21	1	CAU	northeast_ns_correctional_facility
7	Alleged or Breached Rule	29 - JUL - 21	30 - JUL - 21	1	CAU	northeast_ns_correctional_facility
7	Alleged or Breached Rule	01 - AUG - 21	05 - AUG - 21	4	CAU	northeast_ns_correctional_facility
7	Alleged or Breached Rule	03 - AUG - 21	05 - AUG - 21	2	CAU	northeast_ns_correctional_facility
7	Alleged or Breached Rule	03 - AUG - 21	06 - AUG - 21	3	IND	northeast_ns_correctional_facility
7	Alleged or Breached Rule	03 - AUG - 21	07 - AUG - 21	4	IND	northeast_ns_correctional_facility
7	Alleged or Breached Rule	03 - AUG - 21	05 - AUG - 21	2	CAU	northeast_ns_correctional_facility
7	Alleged or Breached Rule	05 - AUG - 21	07 - AUG - 21	2	CAU	northeast_ns_correctional_facility
8	Alleged or Breached Rule	06 - AUG - 21	08 - AUG - 21	2	CAU	northeast_ns_correctional_facility
8	Alleged or Breached Rule	06 - AUG - 21	09 - AUG - 21	3	CAU	northeast_ns_correctional_facility
8	Alleged or Breached Rule	06 - AUG - 21	06 - AUG - 21	0	CAU	northeast_ns_correctional_facility
8	Alleged or Breached Rule	07 - AUG - 21	09 - AUG - 21	2	IND	northeast_ns_correctional_facility
8	Alleged or Breached Rule	12 - AUG - 21	14 - AUG - 21	2	CAU	northeast_ns_correctional_facility
8	Alleged or Breached Rule	13 - AUG - 21	18 - AUG - 21	5	IND	northeast_ns_correctional_facility
8	Alleged or Breached Rule	15 - AUG - 21	17 - AUG - 21	2	BLA	northeast_ns_correctional_facility
8	Alleged or Breached Rule	15 - AUG - 21	17 - AUG - 21	2	ANS	northeast_ns_correctional_facility
8	Alleged or Breached Rule	18 - AUG - 21	19 - AUG - 21	1	BLA	northeast_ns_correctional_facility
8	Alleged or Breached Rule	18 - AUG - 21	19 - AUG - 21	1	CAU	northeast_ns_correctional_facility
8	Alleged or Breached Rule	18 - AUG - 21	21 - AUG - 21	3	CAU	northeast_ns_correctional_facility
8	Alleged or Breached Rule	19 - AUG - 21	20 - AUG - 21	1	CAU	northeast_ns_correctional_facility
8	Alleged or Breached Rule	19 - AUG - 21	22 - AUG - 21	3	CAU	northeast_ns_correctional_facility
8	Alleged or Breached Rule	20 - AUG - 21	29 - AUG - 21	9	IND	northeast_ns_correctional_facility
8	Alleged or Breached Rule	21 - AUG - 21	22 - AUG - 21	1	CAU	northeast_ns_correctional_facility
8	Alleged or Breached Rule	22 - AUG - 21	24 - AUG - 21	2	CAU	northeast_ns_correctional_facility
9	Alleged or Breached Rule	22 - AUG - 21	24 - AUG - 21	IN 2	CAU	northeast_ns_correctional_facility
9	Alleged or Breached Rule	22 - AUG - 21	24 - AUG - 21	2	CAU	northeast_ns_correctional_facility
9	Alleged or Breached Rule	23 - AUG - 21	24 - AUG - 21	1	CAU	northeast_ns_correctional_facility
9	Alleged or Breached Rule	24 - AUG - 21	01 - SEP - 21	8	CAU	northeast_ns_correctional_facility
9	Alleged or Breached Rule	24 - AUG - 21	29 - AUG - 21	5	CAU	northeast_ns_correctional_facility
9	Alleged or Breached Rule	25 - AUG - 21	25 - AUG - 21	0	CAU	northeast_ns_correctional_facility
9	Alleged or Breached Rule	29 - AUG - 21	31 - AUG - 21	2	IND	northeast_ns_correctional_facility
